'UNIFAC group parameters,,,,,,
'ID,SUB_ID,Main groups,Group,Rk,Qk,example,picture,JobackGroups,Elements
45,88,CClF,HCCl2F,2.406,2.116,Dichlorofluoromethane: 1*HCCl2F,HCCl2F Dichlorofluoromethane,1:3/2:17/1:16/,
45,89,CClF,HCClF,1.6493,1.416,1-Chloro-1-2-2-2-Tetrafluoroethane: 1*CF3 1*HCClF,HCClF 1-Chloro-1.2.2.2-Tetrafluoroethane,1:3/1:17/1:16/,
45,90,CClF,CClF2,1.8174,1.648,1-2-Dichlorotetrafluoroethane: 2*CClF2,CClF2 1.2-Dichlorotetrafluoroethane,1:4/1:17/2:16/,
45,91,CClF,HCClF2,1.967,1.828,Chlorodifluoromethane: 1*HCClF2,Difluorochloromethane,1:3/1:17/2:16/,
45,92,CClF,CClF3,2.1721,2.1,Chlorotrifluoromethane: 1*CClF3,Chlorotrifluoromethane,1:4/1:17/3:16/,
45,93,CClF,CCl2F2,2.6243,2.376,Dichlorodifluoromethane: 1*CCl2F2,Dichlorodifluoromethane,1:4/2:17/2:16/,
46,94,CON,CONH2,1.4515,1.248,Acetamide: 1*CH3 1*CONH2,Acetamide,1:24/1:30//,
46,95,CON,CONHCH3,2.1905,1.796,N-Methylacetamide: 1*CH3 1*CONHCH3,n-Methylacetamide,1:24/1:31/1:1/,
46,96,CON,CONHCH2,1.9637,1.488,N-Ethylacetamide: 2*CH3 1*CONHCH2,n-Ethylacetamide,1:24/1:31/1:2/,
46,97,CON,CON(CH3)2,2.8589,2.428,n.n-dimethylacetamid: 1*CH3 1*CON(CH3)2,N.N-Dimethylacetamide,1:24/1:33/2:1/,
46,98,CON,CONCH3CH2,2.6322,2.12,n.n-methylethylacetamid: 2*CH3 1*CONCH3CH2,N.N-Methylethylacetamidd,1:24/1:33/1:1/1:2,
46,99,CON,CON(CH2)2,2.4054,1.812,n.n-diethylacetamid: 3*CH3 1*CON(CH2)2,N.N-Diethylacetamid,1:24/1:33/2:2/,
47,100,OCCOH,C2H5O2,2.1226,1.904,2-ethoxyethanol: 1*CH3 1*CH2 1*C2H5O2,C2H5O2 2-Ethoxyethanol,2:2/1:20/1:22/,
47,101,OCCOH,C2H4O2,1.8952,1.592,2-ethoxy-1-propanol: 2*CH3 1*CH2 1*C2H4O2,C2H4O2 2-Ethoxy-1-Propanol,1:2/1:20/1:22/1:3,
48,102,CH2S,CH3S,1.613,1.368,dimethylsulphide: 1*CH3 1*CH3S,Dimethylsulfide,1:1/1:40//,
48,103,CH2S,CH2S,1.3863,1.06,diethylsulphide: 2*CH3 1*CH2 1*CH2S,Diethylsulfide,1:2/1:40//,
48,104,CH2S,CHS,1.1589,0.748,diisopropylsulphide: 4*CH3 1*CH 1*CHS,Diisopropylsulfide,1:3/1:40//,
49,105,Morpholine,morpholine,3.474,2.796,morpholine: 1*MORPH,MORPH Morpholine,1:23/1:32/4:11/,
50,106,Thiophene,C4H4S,2.8569,2.14,thiophene: 1*C4H4S,C4H4S Thiophene,1:41/4:14//,
50,107,Thiophene,C4H3S,2.6908,1.86,2-methylthiophene: 1*CH3 1*C4H3S,C4H3S 2-Methylthiophene,1:41/3:14/1:15/,
50,108,Thiophene,C4H2S,2.5247,1.58,2 3-dimethylthiophene: 2*CH3 1*C4H2S,C4H2S 2.3-Dimethylthiophene,1:41/2:14/2:15/,
52,109,CH2SuCH2,CH2SuCH2,2.6869,2.120,sulfolane: 1*CH2SuCH2 2*CH2,Sulfolane,1:41/2:29/2:11/,
52,110,CH2SuCH2,CH2SuCH,2.4595,1.808,2.4 dimethyl sulfolane: 1*CH2SuCH 2*CH3 1*CH2 1*CH,2.4-Dimethylsulfolane,1:41/2:29/1:11/1:12,
53,111,Oxides,CH2OCH2,1.5926,1.320,ethylene oxide:  1*CH2OCH2,Ethyleneoxide,2:11/1:23//,
53,112,Oxides,CH2OCH,1.3652,1.008,1.2-propylene oxide:  1*CH3  1*CH2OCH,1.2-Propyleneoxide,1:11/1:12/1:23/,
53,113,Oxides,CH2OC,1.1378,0.780,1.2-epoxy-2-methylpropane: 2*CH3  1*CH2OC,1.2-Epoxy-2-Methylpropane,1:11/1:13/1:23/,
53,114,Oxides,CHOCH,1.1378,0.696,2.3 epoxybutane: 2*CH3  1*CHOCH,2.3-Epoxybutane,2:12/1:23//,
53,115,Oxides,CHOC,0.9103,0.468,2.3-epoxy-2-methylbutane:  3*CH3  1*CHOCH,2.3-Epoxy-2-Methylbutane,1:12/1:13/1:23/,
53,116,Oxides,COC,0.6829,0.240,2.3-Epoxy-2.3-Dimethylbutane: 4*CH3  1*COC,2.3-Epoxy-2.3-Dimethylbutane,2:13/1:23//,
54,117,Anhydride,O=COC=O,1.7732,1.520,acetic anhydride: 2*CH3  1*O=COC=O,Aceticanhydride,2:24/1:22//,
55,118,Aromatic Nitrile,AC-CN,1.3342,0.996,benzonitrile: 5*ACH  1*AC-CN,Benzonitrile,1:15/1:37//,
56,119,Aromatic Bromo,AC-Br,1.3629,0.972,bromobenzene: 5*ACH  1*AC-Br,AC-Br Bromobenzene,1:15/1:18//,
